source,source_id,url,price,currency,property_type,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,age_years,price_per_construction_m2,price_per_land_m2,latitude,longitude,coordinate_quality,state,municipality,neighborhood,postal_code,street,inegi_cve_ageb,ageb_assignment_quality,population,occupied_housing,population_density,housing_density,car_ownership_ratio,internet_access_ratio,average_schooling,employment_ratio,establishments_500m,establishments_1km,retail_500m,retail_1km,restaurants_hotels_500m,restaurants_hotels_1km,health_500m,health_1km,education_500m,education_1km,financial_500m,financial_1km,professional_services_500m,professional_services_1km,training_readiness,market_segment,price_band,quality_flags
mercadolibre,MLM-3227069457,https://casa.mercadolibre.com.mx/MLM-3227069457-venta-de-terreno-lomas-de-cocoyoc-residencial-la-hondonada-yautepec-morelos-disfruta-de-una-calidad-de-vida-inigualable-hain-_JM,4000000.0,MXN,casa,517.57,517.57,,,2,,7728.42,,,,medium,Morelos,Yautepec,Lomas De Cocoyoc,,,0413,approximate_coordinate,169.0,52.0,291.74148178346906,89.76660977952893,0.5961538461538461,0.6923076923076923,10.85,1.0,318,718,115,283,67,196,20,31,3,7,2,3,10,17,D,residential,3M-5M,"missing_coordinates,same_land_and_construction_area"
mercadolibre,MLM-2989142861,https://casa.mercadolibre.com.mx/MLM-2989142861-casa-en-venta-en-real-hacienda-san-jose-sumiya-jiutepec-_JM,7500000.0,MXN,casa,1234.0,,4,2.0,2,,,,,,unusable,Morelos,Jiutepec,,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,5M-8M,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-3279323777,https://casa.mercadolibre.com.mx/MLM-3279323777-casa-con-jardin-y-jacuzzi-privado-en-condominio-con-seguridad-en-xochitepec-_JM,5750000.0,MXN,casa,208.0,268.0,2,3.0,3,,21455.22,,,,medium,Morelos,Xochitepec,Centro,,,0045,approximate_coordinate,2836.0,909.0,3021.7912815897585,968.5501674771123,0.49064906490649063,0.6798679867986799,11.16,0.9658634538152611,393,612,132,212,94,136,20,27,6,14,12,12,9,12,B,residential,5M-8M,missing_coordinates
mercadolibre,MLM-2858102049,https://casa.mercadolibre.com.mx/MLM-2858102049-villa-preciosa-vista-en-venta-paraiso-country-club-_JM,9800000.0,MXN,casa,363.0,304.0,4,5.0,5,,32236.84,,,,unusable,Morelos,Emiliano Zapata,Fraccionamiento Paraíso Country Club,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,8M-12M,missing_coordinates
mercadolibre,MLM-5170705588,https://casa.mercadolibre.com.mx/MLM-5170705588-casa-en-venta-en-burgos-bugambilias-_JM,9200000.0,MXN,casa,402.0,358.0,3,4.0,4,,25698.32,,,,unusable,Morelos,Temixco,Burgos Bugambilias,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,8M-12M,missing_coordinates
mercadolibre,MLM-4457473878,https://casa.mercadolibre.com.mx/MLM-4457473878-casa-en-venta-en-fraccionamiento-los-almendros-ayala-_JM,825000.0,MXN,casa,44.0,62.0,2,2.0,1,,13306.45,,,,unusable,Morelos,Ayala,Las Llaves,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,<1M,missing_coordinates
mercadolibre,MLM-4761858792,https://casa.mercadolibre.com.mx/MLM-4761858792-casa-en-venta-en-del-bosque-_JM,11500000.0,MXN,casa,500.0,468.0,4,3.0,3,,24572.65,,,,medium,Morelos,Cuernavaca,Del Bosque,,,1024,approximate_coordinate,2297.0,656.0,1826.149212248381,521.5297706725894,0.43902439024390244,0.6036585365853658,10.03,0.990210843373494,22,37,9,11,1,2,0,0,0,0,0,0,0,0,B,residential,8M-12M,missing_coordinates
mercadolibre,MLM-3233370207,https://casa.mercadolibre.com.mx/MLM-3233370207-casa-en-venta-en-atlatlahucan-_JM,4250000.0,MXN,casa,250.0,212.0,2,3.0,3,,20047.17,,,,low,Morelos,Atlatlahucan,Atlatlahucan,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,3M-5M,missing_coordinates
mercadolibre,MLM-2744754315,https://casa.mercadolibre.com.mx/MLM-2744754315-casa-en-cuautla-morelos-escelente-ubicacion-col-hermenegildo-galeana-_JM,1490000.0,MXN,casa,105.0,79.0,3,2.0,1,,18860.76,,,,medium,Morelos,Cuautla,Hermenegildo Galeana,,,0476,approximate_coordinate,2592.0,802.0,6350.453763750154,1964.9166352344228,0.4077306733167082,0.6458852867830424,11.07,0.9784122562674095,497,1496,178,557,78,259,40,95,12,43,2,18,13,25,B,residential,1M-2M,missing_coordinates
mercadolibre,MLM-5650200414,https://casa.mercadolibre.com.mx/MLM-5650200414-casa-en-altos-de-oaxtepec-morelos-municipio-de-yautepec-venta-exclusivo-fraccionamiento-acceso-controladoseguridad-las-24-horas-_JM,5100000.0,MXN,casa,300.0,255.0,3,3.0,3,,20000.0,,,,medium,Morelos,Yautepec,Altos De Oaxtepec,,,0610,approximate_coordinate,122.0,44.0,220.311520394528,79.4566139127806,0.7954545454545454,0.7045454545454546,11.64,0.9245283018867925,0,3,0,0,0,0,0,1,0,1,0,0,0,0,B,residential,5M-8M,missing_coordinates
