source,source_id,url,price,currency,property_type,market_segment,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,age_years,price_per_construction_m2,price_per_land_m2,price_band,latitude,longitude,geocode_latitude,geocode_longitude,coordinate_quality,state,municipality,neighborhood,postal_code,street,inegi_cve_ageb,ageb_assignment_quality,population,occupied_housing,population_density,housing_density,car_ownership_ratio,internet_access_ratio,average_schooling,employment_ratio,establishments_500m,establishments_1km,retail_500m,retail_1km,restaurants_hotels_500m,restaurants_hotels_1km,health_500m,health_1km,education_500m,education_1km,financial_500m,financial_1km,professional_services_500m,professional_services_1km,training_readiness,duplicate_group_id,dedupe_fingerprint,quality_flags
mercadolibre,MLM-5229571946,https://departamento.mercadolibre.com.mx/MLM-5229571946-penthouses-en-morelos-con-alberca-900000-aplica-para-credi-_JM,1200000.0,MXN,departamento,residential,10.0,80.0,1,1.0,1,,15000.0,,1M-2M,,,18.8820463,-99.1451162,medium,Morelos,Jiutepec,Progreso,,,0067,approximate_coordinate,3675.0,1094.0,3309.5309493047475,985.2045873576582,0.5246800731261426,0.6709323583180987,10.74,0.969558599695586,123,616,49,295,14,67,4,17,4,13,0,0,1,2,B,mercadolibre|1200000.0|jiutepec|progreso|10.0|80.0|1.0|1.0,26424c04591aea62f2faaa590f5c6994848ed8c2,"missing_coordinates,suspicious_surface_pair"
mercadolibre,MLM-3200946725,https://departamento.mercadolibre.com.mx/MLM-3200946725-departamento-con-roof-garden-propio-amplio-ideal-para-descansar-_JM,1200000.0,MXN,departamento,residential,50.0,50.0,2,2.0,2,,24000.0,,1M-2M,,,18.8820463,-99.1451162,medium,Morelos,Jiutepec,Progreso,,,0067,approximate_coordinate,3675.0,1094.0,3309.5309493047475,985.2045873576582,0.5246800731261426,0.6709323583180987,10.74,0.969558599695586,123,616,49,295,14,67,4,17,4,13,0,0,1,2,B,mercadolibre|1200000.0|jiutepec|progreso|50.0|50.0|2.0|2.0,c4c71436c98ff0de97a0a95ecbc8945ee19ad3cd,"missing_coordinates,same_land_and_construction_area"
mercadolibre,MLM-3101623379,https://casa.mercadolibre.com.mx/MLM-3101623379-casa-en-venta-fraccionamiento-loma-linda-cuernavaca-morelos-_JM,12000000.0,MXN,casa,residential,354.0,315.0,2,4.0,4,,38095.24,,12M-20M,,,18.9562612,-99.2654933,medium,Morelos,Cuernavaca,Lomas de Tzompantle,,,1039,approximate_coordinate,6258.0,2051.0,3219.0213271989255,1055.0036340819745,0.7844953681131156,0.8551925889809849,13.49,0.9715151515151516,85,284,26,109,14,47,1,10,4,8,0,1,1,6,B,mercadolibre|12000000.0|cuernavaca|lomas de tzompantle|354.0|315.0|2.0|4.0,61612ed06a0c5997f0dcbd8ab4bd84fd7fdce376,missing_coordinates
mercadolibre,MLM-4414128788,https://terreno.mercadolibre.com.mx/MLM-4414128788-terreno-en-venta-atlacholoaya-_JM,12000000.0,MXN,terreno,land,14753.0,,,,,,,813.39,12M-20M,,,18.7442169,-99.2260915,medium,Morelos,Xochitepec,Atlacholoaya,,,0473,approximate_coordinate,4533.0,1113.0,3774.8340204221518,926.8454146767824,0.31626235399820307,0.2407906558849955,7.74,0.9912971404890178,202,236,100,115,22,24,4,6,4,7,0,0,1,1,B,mercadolibre|12000000.0|xochitepec|atlacholoaya|14753.0|||,,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-2582345675,https://departamento.mercadolibre.com.mx/MLM-2582345675-departamento-en-venta-yautepec-morelos-_JM,1214700.0,MXN,departamento,residential,89.0,89.0,2,2.0,2,,13648.31,,1M-2M,,,18.8782906,-99.0762194,medium,Morelos,Yautepec,Felipe Neri,,,0502,approximate_coordinate,4591.0,1380.0,4856.398831602696,1459.7757324355741,0.4608695652173913,0.586231884057971,10.47,0.9813084112149533,236,659,88,249,42,89,11,26,7,14,1,6,2,11,B,mercadolibre|1214700.0|yautepec|felipe neri|89.0|89.0|2.0|2.0,44dac11fd3261335314e0a9c1307a8c582a87dff,"missing_coordinates,same_land_and_construction_area"
mercadolibre,MLM-2897462317,https://casa.mercadolibre.com.mx/MLM-2897462317-reestrena-comoda-casa-de-fin-de-semana-en-cuautla-morelos-_JM,1250000.0,MXN,casa,residential,70.0,70.0,3,2.0,2,,17857.14,,1M-2M,,,18.7663043,-98.9853284,medium,Morelos,Ayala,Ciudad Ayala,,,0039,approximate_coordinate,2879.0,820.0,5071.30302452846,1444.4141994141498,0.4402439024390244,0.5597560975609757,10.83,0.9796472184531886,356,513,168,222,52,69,11,16,7,10,2,2,5,6,B,mercadolibre|1250000.0|ayala|ciudad ayala|70.0|70.0|3.0|2.0,b706f235c9f989fa56b68a57941ca7985fdc5e36,"missing_coordinates,same_land_and_construction_area"
mercadolibre,MLM-5330777556,https://departamento.mercadolibre.com.mx/MLM-5330777556-departamento-en-venta-en-morelos-emiliano-zapata-_JM,1250000.0,MXN,departamento,residential,50.0,50.0,3,2.0,1,,25000.0,,1M-2M,,,18.8548449,-99.2053758,medium,Morelos,Emiliano Zapata,Modesto Rangel,,,0269,approximate_coordinate,3079.0,985.0,2243.575931821806,717.7402704918737,0.8395939086294416,0.8913705583756345,13.39,0.9699754901960784,62,319,23,144,10,36,1,4,0,5,0,1,0,1,B,mercadolibre|1250000.0|emiliano zapata|modesto rangel|50.0|50.0|3.0|2.0,4315664bcb82acfd748e25fe176b70e44c7c8aa3,"missing_coordinates,same_land_and_construction_area"
mercadolibre,MLM-2744981549,https://terreno.mercadolibre.com.mx/MLM-2744981549-terreno-en-oaxtepec-morelos-_JM,1250000.0,MXN,terreno,land,300.0,,,,,,,4166.67,1M-2M,,,18.900402,-98.9731656,medium,Morelos,Yautepec,Oaxtepec Centro,,,0273,approximate_coordinate,45.0,12.0,30.915232939279242,8.244062117141132,0.5833333333333334,0.6666666666666666,11.36,1.0,49,557,13,222,28,184,0,20,4,9,0,2,0,11,B,mercadolibre|1250000.0|yautepec|oaxtepec centro|300.0|||,,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-3054009757,https://departamento.mercadolibre.com.mx/MLM-3054009757-hermoso-departamento-2-recamaras-con-piscina-y-street-gym-en-yautepec-y-pet-park-_JM,1262500.0,MXN,departamento,residential,69.0,75.0,2,2.0,1,,16833.33,,1M-2M,,,18.8782906,-99.0762194,medium,Morelos,Yautepec,Felipe Neri,,,0502,approximate_coordinate,4591.0,1380.0,4856.398831602696,1459.7757324355741,0.4608695652173913,0.586231884057971,10.47,0.9813084112149533,236,659,88,249,42,89,11,26,7,14,1,6,2,11,B,mercadolibre|1262500.0|yautepec|felipe neri|69.0|75.0|2.0|2.0,97481595c542beed49036199fd7ab42a13a1db53,missing_coordinates
mercadolibre,MLM-2798041817,https://departamento.mercadolibre.com.mx/MLM-2798041817-departamento-en-venta-en-condominio-horizontal-la-loma-_JM,1275000.0,MXN,departamento,residential,62.0,62.0,0,2.0,1,,20564.52,,1M-2M,,,18.9105947,-98.9311186,medium,Morelos,Atlatlahucan,San Juan Texcalpan,,,0138,approximate_coordinate,973.0,397.0,335.65998876705885,136.9547950056756,0.924433249370277,0.9420654911838791,14.18,0.972568578553616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,mercadolibre|1275000.0|atlatlahucan|san juan texcalpan|62.0|62.0|0.0|2.0,6bff1ee42ff40ab328bc1a18a51c667c42aec5a6,"missing_coordinates,same_land_and_construction_area"
