source,source_id,url,price,currency,property_type,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,age_years,price_per_construction_m2,price_per_land_m2,latitude,longitude,coordinate_quality,state,municipality,neighborhood,postal_code,street,inegi_cve_ageb,ageb_assignment_quality,population,occupied_housing,population_density,housing_density,car_ownership_ratio,internet_access_ratio,average_schooling,employment_ratio,establishments_500m,establishments_1km,retail_500m,retail_1km,restaurants_hotels_500m,restaurants_hotels_1km,health_500m,health_1km,education_500m,education_1km,financial_500m,financial_1km,professional_services_500m,professional_services_1km,training_readiness,quality_flags,experiment_frozen_at,duplicate_group_id
mercadolibre,MLM-2718606247,https://terreno.mercadolibre.com.mx/MLM-2718606247-remate-terreno-2000-m-xochitepec-morelos-ideal-inversionistas-_JM,1279997.0,MXN,terreno,2000.0,,,,,,,640.0,,,medium,Morelos,Xochitepec,Chiconcuac,,,037A,approximate_coordinate,3678.0,1047.0,2433.0795911403716,692.6140108548041,0.4106972301814708,0.5845272206303725,9.48,0.9766734279918864,343,586,138,234,75,116,16,27,5,7,0,0,4,10,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|1279997.0|xochitepec|chiconcuac|2000.0|||
mercadolibre,MLM-3071833173,https://terreno.mercadolibre.com.mx/MLM-3071833173-terreno-en-oaxtepec-a-pocos-metros-de-six-flags-escritura-y-uso-de-suelo-_JM,41000000.0,MXN,terreno,36249.0,,,,,,,1131.07,,,medium,Morelos,Yautepec,Amates,,,0428,approximate_coordinate,566.0,213.0,485.0932841428899,182.55277300783663,0.7230046948356808,0.7699530516431925,12.68,0.95985401459854,2,26,0,12,0,4,0,0,0,2,0,0,0,0,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|41000000.0|yautepec|amates|36249.0|||
mercadolibre,MLM-4534534796,https://terreno.mercadolibre.com.mx/MLM-4534534796-terreno-en-venta-en-lomas-de-cocoyoc-_JM,5912500.0,MXN,terreno,1075.0,,,,,,,5500.0,,,medium,Morelos,Atlatlahucan,Lomas De Cocoyoc,,,0138,approximate_coordinate,973.0,397.0,335.65998876705885,136.9547950056756,0.924433249370277,0.9420654911838792,14.18,0.972568578553616,46,49,16,16,15,15,1,1,0,1,0,0,0,0,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|5912500.0|atlatlahucan|lomas de cocoyoc|1075.0|||
mercadolibre,MLM-4602135488,https://terreno.mercadolibre.com.mx/MLM-4602135488-terreno-en-venta-subdivisible-en-el-centro-de-jiutepec-mor-mexico-_JM,10456000.0,MXN,terreno,4268.0,,,,,,,2449.86,,,medium,Morelos,Jiutepec,Centro Jiutepec,,,1084,approximate_coordinate,2129.0,704.0,6005.284940640889,1985.777641245273,0.5710227272727273,0.8181818181818182,12.54,0.974721189591078,545,1899,218,865,75,232,27,74,32,49,12,16,9,29,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|10456000.0|jiutepec|centro jiutepec|4268.0|||
mercadolibre,MLM-3871630662,https://terreno.mercadolibre.com.mx/MLM-3871630662-terreno-en-cuautla-morelos-venta-con-alberca-excelente-jardin-_JM,3750000.0,MXN,terreno,835.0,,2.0,,,,,4491.02,,,medium,Morelos,Cuautla,Lázaro Cárdenas,,,0368,approximate_coordinate,1914.0,476.0,3580.4896156099,890.4456933282719,0.4705882352941176,0.5105042016806722,9.39,0.9818763326226012,293,726,144,318,35,115,8,22,7,11,0,2,3,8,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|3750000.0|cuautla|lázaro cárdenas|835.0||2.0|
mercadolibre,MLM-5902658896,https://terreno.mercadolibre.com.mx/MLM-5902658896-venta-terreno-fraccionamiento-del-bosque-cuernavaca-t72-_JM,2340000.0,MXN,terreno,1296.0,,,,,,,1805.56,,,medium,Morelos,Cuernavaca,Del Bosque,,,1024,approximate_coordinate,2297.0,656.0,1826.149212248381,521.5297706725894,0.4390243902439024,0.6036585365853658,10.03,0.990210843373494,22,37,9,11,1,2,0,0,0,0,0,0,0,0,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|2340000.0|cuernavaca|del bosque|1296.0|||
mercadolibre,MLM-4532067472,https://terreno.mercadolibre.com.mx/MLM-4532067472-terreno-en-venta-en-lomas-de-cocoyoc-_JM,4014500.0,MXN,terreno,647.0,,,,,,,6204.79,,,medium,Morelos,Atlatlahucan,Lomas De Cocoyoc,,,0138,approximate_coordinate,973.0,397.0,335.65998876705885,136.9547950056756,0.924433249370277,0.9420654911838792,14.18,0.972568578553616,46,49,16,16,15,15,1,1,0,1,0,0,0,0,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|4014500.0|atlatlahucan|lomas de cocoyoc|647.0|||
mercadolibre,MLM-5064745416,https://terreno.mercadolibre.com.mx/MLM-5064745416-espectacular-terreno-residencial-colindando-con-residencial-sumiya-_JM,50000000.0,MXN,terreno,14850.0,,,,,,,3367.0,,,medium,Morelos,Jiutepec,Sumiya,,,0122,approximate_coordinate,1858.0,564.0,1540.789692968381,467.7101113208648,0.74822695035461,0.8156028368794326,12.28,0.9752380952380952,13,200,5,81,2,21,0,6,0,7,0,0,0,1,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|50000000.0|jiutepec|sumiya|14850.0|||
mercadolibre,MLM-4532041374,https://terreno.mercadolibre.com.mx/MLM-4532041374-terreno-en-venta-en-lomas-de-cocoyoc-_JM,4670568.0,MXN,terreno,741.0,,,,,,,6303.06,,,medium,Morelos,Atlatlahucan,Lomas De Cocoyoc,,,0138,approximate_coordinate,973.0,397.0,335.65998876705885,136.9547950056756,0.924433249370277,0.9420654911838792,14.18,0.972568578553616,46,49,16,16,15,15,1,1,0,1,0,0,0,0,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|4670568.0|atlatlahucan|lomas de cocoyoc|741.0|||
mercadolibre,MLM-4756939850,https://terreno.mercadolibre.com.mx/MLM-4756939850-terreno-en-venta-en-pedregal-de-oaxtepec-_JM,1300000.0,MXN,terreno,335.0,,,,,,,3880.6,,,medium,Morelos,Yautepec,Pedregal De Oaxtepec,,,0432,approximate_coordinate,630.0,187.0,653.8871844015503,194.09032298903156,0.4117647058823529,0.3689839572192513,9.09,0.9777777777777776,44,713,12,284,8,176,3,33,0,7,0,3,0,18,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|1300000.0|yautepec|pedregal de oaxtepec|335.0|||
