source_id,property_type,price,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,latitude,longitude,municipality,neighborhood,inegi_cve_ageb
MLM-2932323063,casa,6500000.0,103.0,386.0,3,3.0,3.0,19.4749623,-99.1257781,Gustavo A. Madero,Industrial,1595
MLM-5659780114,casa,6645000.0,140.0,217.0,4,2.0,2.0,19.4763883,-99.0841141,Gustavo A. Madero,Ampliación Casas Alemán,1913
MLM-5030451488,casa,3100000.0,157.06,161.35,2,2.0,2.0,19.5332017,-99.1496192,Gustavo A. Madero,Jorge Negrete,2786
MLM-5705914786,casa,7000000.0,196.0,185.0,4,3.0,3.0,19.4749623,-99.1257781,Gustavo A. Madero,Industrial,1595
MLM-3101190093,casa,2650000.0,89.0,94.0,3,2.0,2.0,19.4725481,-99.087395,Gustavo A. Madero,San Juan de Aragón VI Sección,3074
MLM-3002736249,departamento,2775000.0,72.5,72.5,0,2.0,1.0,19.470254,-99.1067867,Gustavo A. Madero,Aragón Inguaran,1843
MLM-3306314341,casa,5200000.0,168.0,192.0,4,4.0,4.0,19.5268815,-99.1408004,Gustavo A. Madero,Benito Juárez,0328
MLM-3092491521,casa,5985000.0,200.0,202.0,3,2.0,2.0,19.4856,-99.0797574,Gustavo A. Madero,Campestre Aragón,1523
MLM-5058180168,casa,4350000.0,79.28,122.79,4,2.0,2.0,19.4749623,-99.1257781,Gustavo A. Madero,Industrial,1595
MLM-2811111585,departamento,1990000.0,54.0,54.0,0,2.0,1.0,19.4783568,-99.1336761,Gustavo A. Madero,Capultitlán,1400
MLM-2745045377,casa,3100000.0,111.0,240.0,3,2.0,2.0,19.5492218,-99.1243561,Gustavo A. Madero,Cocoyotes,3229
MLM-2911214331,casa,3150000.0,133.0,108.0,3,3.0,1.0,19.5580048,-99.1341732,Gustavo A. Madero,Cuautepec Barrio Alto,0050
MLM-5802022116,casa,5000000.0,150.0,179.0,3,2.0,2.0,19.4581802,-99.1104774,Gustavo A. Madero,Cuchilla La Joya,2201
MLM-3296877583,casa,3990000.0,129.0,180.0,6,4.0,4.0,19.4778665,-99.094982,Gustavo A. Madero,DM Nacional,3407
MLM-3200374385,casa,4200000.0,160.0,140.0,3,2.0,2.0,19.4873951,-99.0910802,Gustavo A. Madero,El Coyol,1504
MLM-2797445597,casa,7800000.0,161.0,368.0,5,4.0,4.0,19.4750668,-99.1167561,Gustavo A. Madero,Estrella,1788
MLM-2874594253,casa,1950000.0,55.0,108.0,2,2.0,1.0,19.5228371,-99.1605541,Gustavo A. Madero,Santiago Atepetlac,0385
MLM-5918255512,casa,5380000.0,120.0,217.0,3,2.0,2.0,19.48326,-99.0938507,Gustavo A. Madero,Ferrocarrilera,3394
MLM-5357496656,casa,5300000.0,143.0,264.0,4,2.0,2.0,19.4994284,-99.1032894,Gustavo A. Madero,Gabriel Hernández,0807
MLM-2737846821,departamento,1800000.0,65.0,65.0,4,3.0,1.0,19.5217368,-99.1537704,Gustavo A. Madero,Guadalupe Proletaria,0402
MLM-5438433910,departamento,2200000.0,66.0,64.0,2,2.0,1.0,19.5399682,-99.1410584,Gustavo A. Madero,Guadalupe Victoria,0192
MLM-6043967842,casa,7300000.0,130.0,350.0,3,2.0,2.0,19.4749623,-99.1257781,Gustavo A. Madero,Industrial,1595
