codigo_act,latitud,longitud
221123,19.43831518,-99.19728828
221113,19.43831518,-99.19728828
221114,19.43849328,-99.20821691
221111,19.44016676,-99.20281543
221123,19.44018956,-99.20188638
221111,19.44018956,-99.20188638
221111,19.44016668,-99.20280635
221111,19.44016665,-99.20280315
221114,19.42848489,-99.16317016
221114,19.43831518,-99.19728828
221114,19.43831518,-99.19728828
221113,19.43831518,-99.19728828
221114,19.43831518,-99.19728828
221114,19.35944634,-99.2790569
221114,19.42883404,-99.2044066
221114,19.42843977,-99.20595136
221111,19.42843977,-99.20595136
221113,19.42930215,-99.20499185
221113,19.42946122,-99.20521279
221114,19.42444954,-99.17405583
221114,19.42457268,-99.17379179
221114,19.42843977,-99.20595136
221114,19.42988989,-99.21185295
221114,19.429205,-99.205956
221114,19.43831518,-99.19728828
221114,19.43831518,-99.19728828
221113,19.42606357,-99.16760027
221113,19.42608128,-99.16744996
221312,19.37526981,-99.03450218
221312,19.40889701,-99.07623961
221114,19.43530629,-99.20912177
221123,19.36694128,-99.10489998
221111,19.43530629,-99.20912177
221312,19.32930297,-99.25383251
221312,19.37207789,-99.04553117
221210,19.42946122,-99.20521279
221114,19.42843977,-99.20595136
221112,19.42491438,-99.20352858
221112,19.44213935,-99.20295341
221121,19.33653962,-99.14975393
221121,19.37678787,-99.12900752
221119,19.42851761,-99.20607087
221114,19.42843977,-99.20595136
221112,19.43831518,-99.19728828
221111,19.42783135,-99.20524446
221111,19.42784121,-99.2052527
221111,19.42784963,-99.20525972
221111,19.42784805,-99.2052584
221111,19.42783377,-99.20524648
221111,19.42783377,-99.20524648
221111,19.427832,-99.20524501
221111,19.4278482,-99.20525853
221111,19.42772778,-99.20515801
221111,19.42782277,-99.2052373
221111,19.42946122,-99.20521279
221111,19.42778906,-99.20520916
221114,19.42786223,-99.20527277
221114,19.42783879,-99.20525068
221113,19.4278529,-99.20526253
221210,19.38769084,-99.2499778
221111,19.36365671,-99.28037257
221312,19.52708388,-99.14696128
221123,19.41170344,-99.15532053
221123,19.44069627,-99.18355009
221123,19.4358725,-99.17016305
221111,19.42950779,-99.20527745
221113,19.42971807,-99.19561475
221113,19.42971363,-99.1955854
221312,19.53465023,-99.15713102
221312,19.52993016,-99.13554959
221312,19.38119841,-99.11065747
221312,19.34813773,-99.06401364
221312,19.36230081,-99.06554728
221312,19.49443221,-99.17290027
221312,19.39801202,-99.05919301
221312,19.37270499,-99.10286371
221312,19.47837517,-99.17511438
221312,19.39633398,-99.11304467
221112,19.43831518,-99.19728828
221123,19.37104199,-99.18002322
221123,19.43276879,-99.12381212
221210,19.45581119,-99.14210459
221210,19.45324009,-99.18623755
221312,19.4574201,-99.05887625
221312,19.46695662,-99.09641346
221312,19.39735799,-99.21856534
221312,19.48534592,-99.08904741
221312,19.33810499,-99.07471207
221312,19.48410983,-99.08952643
221312,19.34986561,-99.02825488
221312,19.24809012,-99.09437033
221312,19.29068922,-99.13128616
221312,19.27649815,-99.04900057
221312,19.48142967,-99.08924241
221312,19.33854359,-99.11310292
221312,19.35113269,-99.01121731
221312,19.35656121,-99.10928127
221123,19.39941628,-99.12337854
221122,19.3394303,-99.21437935
221122,19.37883038,-99.18241853
221122,19.30608817,-99.20672415
221122,19.42495011,-99.17643234
221122,19.42495011,-99.17643234
221114,19.43798894,-99.19714013
221123,19.33573435,-99.19643161
221123,19.42680702,-99.14414766
221312,19.36425556,-99.28487368
221312,19.27759307,-99.19220681
221311,19.34651572,-99.12020375
221311,19.34730613,-99.11997642
221114,19.43831518,-99.19728828
221114,19.43831518,-99.19728828
221114,19.43831518,-99.19728828
221114,19.42946049,-99.20521177
221114,19.43831518,-99.19728828
221114,19.42491438,-99.20352858
221114,19.42606239,-99.16846662
221114,19.42785177,-99.2052615
221114,19.43831518,-99.19728828
221114,19.42843977,-99.20595136
221312,19.44431282,-99.13973172
221312,19.25983393,-99.03036108
221312,19.36594015,-99.12772113
221312,19.32924104,-99.25258415
221312,19.41868878,-99.09389843
221312,19.47633808,-99.20948559
221312,19.32018202,-99.09953663
221312,19.30392799,-99.16317037
221312,19.40261254,-99.1733117
221312,19.42081127,-99.06908645
221312,19.30686197,-99.10055289
221312,19.52366425,-99.14326256
221312,19.50929964,-99.09109997
221312,19.25670909,-99.06461197
221312,19.37885483,-99.04145461
221312,19.28716454,-99.01408916
221312,19.44581863,-99.12478045
221312,19.41815367,-99.12425861
