ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,TVIVHAB,VPH_AUTOM,VPH_INTER,GRAPROES,PEA,POCUPADA
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0928,000,1841,518,146,316,10.13,1040,1014
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0932,000,408,126,68,102,11.74,216,214
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0947,000,4456,1309,542,1088,11.18,2451,2373
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0966,000,2047,645,525,604,13.36,968,936
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0970,000,2953,885,555,768,12.58,1497,1449
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,0985,000,2334,694,343,554,11.96,1282,1246
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,099A,000,1337,418,247,362,12.59,738,730
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1004,000,7559,2286,1053,1789,11.84,4423,4304
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1019,000,1689,536,258,420,11.79,968,934
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1023,000,7644,2731,1548,2298,12.65,4695,4560
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1038,000,7053,2138,785,1430,10.74,3816,3716
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1042,000,5802,1617,628,1196,10.56,3159,3075
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1057,000,2418,862,617,772,14.06,1280,1266
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1061,000,1719,673,217,500,12.32,871,840
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1076,000,1,1,*,*,*,*,*
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1080,000,5000,1783,1414,1644,13.91,2851,2784
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1095,000,7035,2145,1206,1768,12.09,4001,3898
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1112,000,4239,1300,662,1115,12.21,2445,2381
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1127,000,2837,875,440,730,12.2,1656,1626
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1131,000,2543,889,482,745,12.93,1351,1313
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1146,000,927,342,172,287,13.12,501,486
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1150,000,3486,1055,596,899,12.55,1969,1929
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1165,000,400,107,34,51,9.67,221,215
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,117A,000,1602,537,361,483,12.88,810,792
09,Ciudad de México,002,Azcapotzalco,0001,Total AGEB urbana,1184,000,1433,471,287,414,12.68,727,698
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0018,000,1658,658,492,613,14.93,925,904
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0022,000,1569,583,446,536,14.97,897,883
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0037,000,1428,479,352,422,14.6,769,759
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0041,000,3006,1308,949,1202,14.81,1840,1815
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0056,000,3895,1385,958,1258,14.18,2252,2184
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0060,000,4299,1423,893,1226,13.42,2397,2314
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0075,000,2825,1055,737,971,14.44,1700,1658
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,008A,000,2297,712,645,670,14.6,1179,1149
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0094,000,3531,1170,868,1059,14.12,1888,1806
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0107,000,6992,2341,1569,2022,13.41,3881,3790
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0111,000,1380,383,288,332,14.26,794,788
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0126,000,1803,609,476,567,14.88,1070,1061
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0130,000,2171,745,507,663,14.15,1207,1180
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0145,000,2090,780,555,702,14.53,1233,1207
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,015A,000,5065,1829,1257,1643,14.21,2942,2849
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0164,000,2900,1074,768,993,14.46,1721,1684
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0179,000,2198,754,637,710,14.49,1269,1228
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0183,000,2789,1069,822,978,14.79,1706,1663
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0198,000,1649,495,426,444,14.25,870,852
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0200,000,5523,1997,1631,1839,14.17,3345,3247
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0215,000,6100,2261,1958,2144,14.52,3608,3542
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,022A,000,8705,2464,1234,1907,11.45,4879,4766
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0234,000,710,245,206,236,15.5,432,415
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0249,000,740,265,172,244,15.01,424,412
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0268,000,1305,472,319,431,14.51,775,752
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0272,000,3327,1118,885,1040,15.38,1847,1797
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0287,000,8213,2522,1590,2226,13.06,4609,4524
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0291,000,4212,1508,1035,1339,13.46,2527,2455
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0304,000,1968,665,394,581,13.92,1126,1094
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0319,000,2494,914,642,832,14.53,1422,1389
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0323,000,2398,802,565,703,14.1,1233,1155
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0342,000,3376,1120,958,1019,14.28,1811,1750
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0357,000,4074,1207,344,787,10.48,2309,2268
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0361,000,1977,671,429,615,13.67,1078,1067
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0376,000,1268,513,325,470,15,769,759
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0380,000,2851,1234,873,1158,15.53,1709,1648
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0395,000,2301,989,479,922,15.57,1371,1333
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0408,000,1576,641,399,610,15.6,867,843
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0412,000,3853,1433,864,1340,14.92,2089,2001
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0427,000,2116,621,501,585,13.74,1173,1157
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0431,000,5344,1501,720,1217,11.58,2810,2764
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0446,000,5501,1812,1252,1598,13.32,3207,3073
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0450,000,6576,2136,1264,1873,13.21,3762,3661
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0465,000,1476,485,382,448,14.78,785,770
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0484,000,1003,356,286,339,14.6,563,543
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0499,000,2502,806,642,723,14.47,1279,1250
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0501,000,3477,1060,844,965,14.12,1862,1823
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0516,000,1436,433,325,376,13.27,776,754
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0520,000,2615,708,450,582,12.4,1522,1475
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0535,000,7676,2247,713,1492,10.49,4317,4231
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,054A,000,784,311,209,285,15.35,456,442
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0554,000,4591,1543,766,1351,12.79,2729,2670
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0573,000,12827,3689,1762,2878,11.69,7610,7469
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0588,000,1779,525,417,483,13.36,1024,1010
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0605,000,3621,1033,251,620,9.65,1955,1918
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,061A,000,10554,2987,977,2133,10.63,5887,5752
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0624,000,9838,2743,905,1853,10.35,5330,5210
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0639,000,12525,3100,1046,2121,10.14,6849,6658
