codigo_act,latitud,longitud
114119,18.72807967,-99.32539246
114119,18.73071493,-99.32988538
212321,18.75506583,-99.34868833
212321,18.65814738,-99.22580767
212321,18.85645884,-99.18013403
212321,18.87080755,-99.17344605
212321,18.85386255,-99.18836735
212392,18.48516664,-99.2665246
212392,18.48967139,-99.26317673
212321,18.87283709,-99.23906947
212321,18.75936247,-99.23748126
212319,18.6027711,-99.392694
212321,18.87315771,-99.23475057
212321,18.71969063,-99.15646912
212321,18.68956888,-99.29044896
212321,18.86857337,-99.23710746
212321,18.75191954,-99.34658716
212321,18.71301271,-99.33474045
212321,18.76777778,-99.23777778
212319,18.6027711,-99.392694
212321,18.76571406,-99.23410741
212322,18.74809546,-99.2059131
212322,18.95462817,-99.07585386
212321,18.87315771,-99.23475057
212321,18.78592778,-99.31399611
212321,18.7362289,-99.31725483
212322,18.72652307,-99.19786232
212321,18.71369538,-99.33419758
212321,18.63202848,-99.22155237
212321,18.85454962,-99.05612666
212322,18.81239361,-99.20470144
212311,18.786592,-99.17892589
221312,18.78259813,-99.20205769
221122,18.80987479,-98.95646323
221122,19.04990994,-99.24182529
221122,18.68195673,-98.80154623
221122,18.88624019,-99.05389381
221312,18.92867141,-99.18414829
221311,18.88988579,-99.16359207
221312,18.86698746,-98.97260746
221312,18.86541886,-98.97071792
221123,18.50477639,-98.75332323
221123,18.92060143,-99.19964758
221123,18.92441994,-99.23745287
221123,18.92761096,-99.23098855
221111,18.61283144,-99.17772725
221123,18.68193357,-98.80143655
221123,18.62421461,-99.32220355
221123,18.84746938,-99.22301089
221123,19.04990833,-99.24182417
221123,18.77574404,-99.22502116
221123,18.80987193,-98.95645293
221111,18.92055329,-99.19953103
221123,18.69619984,-98.8017941
221122,18.9608544,-99.22769764
221123,18.62421671,-99.32221043
221312,18.91709284,-99.23501186
221312,18.9241452,-99.21820471
221122,18.61358671,-99.32269385
221312,18.7814929,-99.20930425
221312,18.88721116,-98.96926884
221311,18.67888303,-99.1445123
221312,18.885106,-98.69048838
221311,18.85919814,-98.93373312
221312,18.93248153,-99.25462269
221312,18.68785158,-99.24843767
221312,18.73064918,-99.32717816
221312,18.73051743,-99.32687612
221312,18.73294801,-99.36672545
221312,18.84275472,-99.20067937
221311,18.88454309,-99.21457205
221311,18.8703467,-99.17179704
221111,18.78472,-98.91689
221123,18.93025461,-99.2239903
221111,18.93654945,-99.19745313
221312,18.60027943,-99.36970257
221123,18.84777195,-98.93878198
221123,18.88205091,-99.17653399
221312,18.80426725,-99.20204812
221312,18.92055709,-99.18493279
221312,18.97903366,-99.24404642
221312,18.97891418,-99.24398966
221312,18.97222505,-99.19982971
221312,18.65089096,-98.83360522
221312,18.91306732,-98.77527984
221311,18.79336052,-98.96398238
221312,18.66593386,-99.2027887
221312,18.92883049,-99.19116337
221312,18.91306704,-99.23772551
221312,18.92962378,-99.20703214
221111,18.94726516,-99.22969193
221312,18.78698262,-98.95910678
221123,18.96904474,-99.2408844
221312,18.59472991,-98.844406
221312,18.88368991,-98.86793691
221312,18.78140049,-99.23051707
221312,18.68301541,-99.11805867
221312,19.00798938,-98.99750967
221312,18.72854492,-99.39880901
221311,18.64399217,-99.20850466
221312,18.9107459,-99.21054691
221312,18.82013016,-99.19241988
221312,18.79909038,-98.96042216
221312,18.86702754,-99.16663271
221312,18.88511913,-98.76077865
221312,18.96216994,-99.26423809
221312,18.89081694,-99.14293244
221312,18.72097656,-98.80167389
221312,18.77847653,-98.77553946
221312,18.73873611,-99.42861167
221312,18.8977537,-99.13407857
221312,18.85406608,-98.92815226
221312,18.87157572,-99.22669467
