ENTIDAD,MUN,LOC,AGEB,MZA,POBTOT,TVIVHAB,VPH_AUTOM,VPH_INTER,GRAPROES,PEA,POCUPADA
17,006,0001,0372,000,5619,1455,510,837,9.06,2910,2835
17,006,0001,0387,000,1222,349,152,206,10.62,657,640
17,006,0001,0391,000,2372,662,318,457,10.9,1291,1265
17,006,0001,0404,000,1986,536,195,268,9.09,1093,1080
17,006,0001,0423,000,3356,893,446,528,10.43,1712,1699
17,006,0001,0438,000,3512,920,400,459,9.64,1874,1846
17,006,0001,0476,000,2592,802,327,518,11.07,1436,1405
17,006,0001,0480,000,3605,1058,414,683,10.86,1931,1905
17,006,0001,0495,000,3333,905,365,524,9.94,1652,1627
17,006,0001,0508,000,5559,1574,612,1006,10.34,2976,2923
17,006,0001,0512,000,1440,429,175,311,11,803,784
17,006,0001,0527,000,2200,711,291,546,11.04,1241,1215
17,006,0001,0531,000,2481,787,325,505,11.8,1353,1338
17,006,0001,0546,000,2441,764,240,464,10.9,1344,1326
17,006,0001,0550,000,2107,598,254,386,10.71,1164,1125
17,006,0001,0565,000,1547,432,223,294,10.86,763,756
17,006,0001,057A,000,2265,750,292,501,11.67,1270,1243
17,006,0001,0584,000,3795,1034,321,596,10.18,1833,1802
17,006,0001,0599,000,1609,568,191,373,11.81,854,828
17,006,0001,0601,000,4735,1395,576,871,11.06,2488,2445
17,006,0001,0616,000,2477,780,365,582,11.01,1399,1378
17,006,0001,0620,000,3394,977,346,559,9.92,1826,1777
17,006,0001,0635,000,1908,544,327,387,11.7,894,883
17,006,0001,0654,000,4131,1126,425,749,9.8,2274,2236
17,006,0001,0669,000,2825,774,289,457,9.84,1524,1507
17,006,0001,0673,000,2452,691,250,406,9.96,1320,1302
17,006,0001,0688,000,1378,384,157,238,10.28,884,878
17,006,0001,0692,000,4383,1193,430,558,9.14,2148,2111
17,006,0001,0705,000,3056,832,339,479,10.35,1606,1591
17,006,0001,071A,000,1871,580,301,466,11.8,896,874
17,006,0001,0724,000,4171,1253,545,815,10.83,2223,2196
17,006,0001,0739,000,952,295,204,244,12.65,575,564
17,006,0001,0743,000,760,253,182,199,12.62,370,357
17,006,0001,0758,000,2432,678,304,427,10.57,1186,1165
17,006,0001,0762,000,2538,707,315,345,9.73,1334,1317
17,006,0001,0777,000,1040,260,88,146,9.05,508,498
17,006,0001,0781,000,563,136,62,68,9.19,273,270
17,006,0001,0796,000,305,83,29,36,7.88,166,166
17,006,0001,0809,000,2538,590,165,261,8.84,1281,1267
17,006,0001,0828,000,3069,786,346,468,9.46,1565,1538
17,006,0001,0832,000,4782,1262,479,598,9.02,2538,2487
17,006,0001,0847,000,1864,530,249,381,10.58,971,958
